PubChem CID,Ligand SMILES
137538576,COc1ccc(CNC(=O)c2nc(NCc3cncc(F)c3)nc3ccsc23)cn1
137538578,O=C(N1CCCC1)c1nc(NCc2cncc(c2)C#N)nc2ccsc12
137538587,C[C@H](Nc1nc(C(=O)N2CCOC2)c2sccc2n1)c1ccccn1
137538613,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CCCC3)c2s1
137538620,OC1CN(C1)C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137538663,C[C@H](Nc1nc(C(=O)NCCO)c2sccc2n1)c1cncc(F)c1
137538676,C[C@H](Nc1nc(C(=O)NCCO)c2sccc2n1)c1cncc(Cl)c1
137538682,C[C@H](Nc1nc(C(=O)N2CC[C@@H](O)C2)c2sc(C)cc2n1)c1cccnc1
137538697,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1ccccn1
137538707,CC(C)OC(=O)NC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137538724,COc1ccc(cc1)[C@@H](C)Nc1nc(C(=O)NCc2ccc(OC)nc2)c2sccc2n1
137538726,C[C@H](Nc1nc(C(=O)NCCC2CN(C2)C(=O)OC(C)(C)C)c2sc(C)cc2n1)c1cncc(F)c1
137538728,C[C@H](Nc1nc(C(=O)N2CC(C2)C(=O)NOC(C)(C)C)c2sc(C)cc2n1)c1cncc(F)c1
137538729,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sc(C)cc2n1)c1ccccn1
137538730,C[C@H](Nc1nc(C(=O)N2CC(CN(C)C(=O)C(C)(C)C)C2)c2sccc2n1)c1cncc(F)c1
137538737,C[C@H](Nc1nc(C(=O)N2CC(CNC(=O)C(C)(C)C)C2)c2sc(C)cc2n1)c1cncc(F)c1
137538752,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCOC2)c2sc(C)cc2n1)c1cncc(F)c1
137538767,OCCNC(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137538770,Cc1cncc(CNc2nc(C(=O)N3CCC3)c3sccc3n2)c1
137538787,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccncc2)c2sccc2n1)c1cncc(F)c1
137538795,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC(O)C3)c2s1
137538808,Fc1cccc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1
137538813,COc1cccc(c1)C(=O)NC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137538814,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C23CCC(CC2)CC3)c2sccc2n1)c1cncc(F)c1
137538815,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2(CC2)C#N)c2sccc2n1)c1cncc(F)c1
137538816,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CC(C)(C)C2)c2sccc2n1)c1cncc(F)c1
137538901,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)OCC(C)(C)C)c2sc(C)cc2n1)c1cncc(F)c1
137538937,C[C@H](Nc1nc(C(=O)NCc2ccccc2)c2sccc2n1)c1cccnc1
137538958,C[C@H](Nc1nc(C(=O)N2CCC2)c2sc(C)cc2n1)c1ccccn1
137538980,C[C@H](Nc1nc(C(=O)NCC(F)(F)F)c2sccc2n1)c1cncc(F)c1
137538982,CNc1cc2nc(N[C@@H](C)c3ccccn3)nc(C(=O)NCCO)c2s1
137538998,O=C(N1CCCC1)c1nc(NCc2ccccn2)nc2ccsc12
137539000,C[C@H](Nc1nc(C(=O)N2CCC[C@@H]2C)c2sccc2n1)c1cncc(F)c1
137539009,COC1CN(C1)C(=O)c1nc(N[C@@H](C)c2ccccn2)nc2ccsc12
137539011,O[C@H]1CC(C1)NC(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137539021,COC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cccnc2)nc2cc(C)sc12
137539027,C[C@H](Nc1nc(C(=O)N2CC(O)C2)c2sc(C)cc2n1)c1ccccn1
137539043,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cncc(F)c1
137539051,C[C@H](Nc1nc(C(=O)N2CCC2)c2sc(N)cc2n1)c1ccccn1
137539065,CC(C)(C)OC(=O)N[C@@H]1CCN(C1)C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137539075,Fc1cncc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1
137539077,C[C@H](Nc1nc(C(=O)N2CCCC2)c2scc(C)c2n1)c1cncc(F)c1
137539080,C[C@H](Nc1nc(C(=O)N2CC(O)C2)c2sc(C)cc2n1)c1cncc(F)c1
137539137,C[C@H](Nc1nc(C(=O)NCCC2CCNCC2)c2sc(C)cc2n1)c1cncc(F)c1
137539146,C[C@H](Nc1nc(C(=O)N2CC[C@H](O)C2)c2scc(C)c2n1)c1cncc(F)c1
137539151,C[C@H](Nc1nc(C(=O)N2CC(CN)C2)c2sc(C)cc2n1)c1cncc(F)c1
137539156,C[C@H](Nc1nc(C(=O)N2CC(CNC(=O)OC(C)(C)C)C2)c2sc(C)cc2n1)c1cncc(F)c1
137539158,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCCO2)c2sc(C)cc2n1)c1cncc(F)c1
137539163,C[C@H](Nc1nc(C(=O)N2CC(CNC(C)=O)C2)c2sccc2n1)c1cncc(F)c1
137539164,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CC2)c2sc(C)cc2n1)c1cncc(F)c1
137539173,CNC(=O)N1CCN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137539188,COCCC(=O)NC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2cc(C)sc12
137539191,C[C@H](Nc1nc(C(=O)N2CC(C)(C2)NC(=O)C2CC2)c2sccc2n1)c1cncc(F)c1
137539194,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccoc2)c2sc(C)cc2n1)c1cncc(F)c1
137539199,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCC(F)(F)CC2)c2sccc2n1)c1cncc(F)c1
137539207,C[C@H](Nc1nc(C(=O)N2CC(CNC(=O)OCC(C)(C)C)C2)c2sccc2n1)c1cncc(F)c1
137539224,OCCNC(=O)c1nc(NCc2cc(F)cc(F)c2)nc2ccsc12
137539228,Fc1cncc(CNc2nc(C(=O)NC3CCC3)c3sccc3n2)c1
137539229,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C(C)(C)C(F)(F)F)c2sccc2n1)c1cncc(F)c1
137539240,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC[C@H](F)C3)c2s1
137539250,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2(CCC2)C(F)(F)F)c2sccc2n1)c1cncc(F)c1
137539253,C[C@H](Nc1nc(C(=O)N2CC(CNC(=O)CC(C)(C)C)C2)c2sc(C)cc2n1)c1cncc(F)c1
137539262,COC1CN(C1)C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137539269,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CC(C3)OC)c2s1
137539278,F[C@H]1CCN(C1)C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137539284,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)NC2CCC2)c2sccc2n1)c1cncc(F)c1
