PubChem CID,Ligand SMILES
15840855,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2ncccn2)c1
16037920,Cn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2ccc(Br)cc2)CC1
16038374,COc1cc(NC(=O)c2ccc(o2)-c2ccc(Cl)cc2)cc(OC)c1
16094666,Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccc2)c1
17863158,CCCCc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccc(Cl)cc1
17863209,CCCCc1nc2cc(Cl)ccc2c2nc(nn12)-c1ccccc1
17863210,CCCCc1nc2ccccc2c2nc(nn12)-c1ccccc1
17888044,Fc1cccc(c1)-c1cccc(CN2CCN(CC2)c2ncccn2)c1
18180076,CN1CCN(CC1)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1
19426635,CNCC1CC2N(O1)c1ccccc1Cc1ccccc21
19964406,C(Cc1ccccc1)C1CN(Cc2nc3ccccc3[nH]2)CCO1
21186098,Fc1ccccc1-c1cccc(CN2CCN(CC2)c2ncccn2)c1
21186102,COc1ccc(cc1)-c1cccc(CN2CCN(CC2)c2ncccn2)c1
21186115,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2ccccc2F)c1
21186124,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2ccccc2)c1
21186138,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2ccccn2)c1
21186143,COc1cccc(c1)-c1cccc(CN2CCN(CC2)c2ncccn2)c1
21186148,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cnccn2)c1
21186186,Fc1ccc(cc1)-c1cccc(CN2CCN(CC2)c2ncccn2)c1
21186192,Fc1ccc(cc1)N1CCN(Cc2cncc(c2)-c2ccc(F)cc2)CC1
21186194,COc1ccccc1-c1cccc(CN2CCN(CC2)c2ncccn2)c1
23930365,COc1cc2CCN(C)C3Cc4ccc(O)c(O)c4-c(c1OC)c23
24894071,Clc1ncccc1Oc1ccc(NC(=O)c2c[nH]c3ccccc23)cn1
25207803,CNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230881,CN(C)c1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230948,CCNc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230949,Nc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230950,C=Cc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230951,CCc1cc2nc(NCc3cccnc3)nc(C(=O)c3cccs3)c2s1
25230952,O=C(c1cccs1)c1nc(NCc2cccnc2)nc2cc(NCc3cccnc3)sc12
27842480,COc1ccc(OCCN2CCN(CC2)C(=O)c2cc3ccccc3[nH]2)cc1
44190762,C[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c3ccc(OC(F)(F)F)cc23)c1)C(O)=O
44250364,O=C(Nc1ccc(Oc2cccnc2)nc1)c1c[nH]c2ccccc12
44251387,Cc1ccc2[nH]cc(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2c1
44251388,COc1ccc2[nH]cc(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2c1
44251389,Cc1ccc2c(c[nH]c2c1)C(=O)Nc1ccc(Oc2cccnc2C)nc1
44304314,C(N1CCN(CC1)c1ncccn1)c1cccc2Cc3ccccc3-c12
44318454,CN(C)CC1CC2N(O1)c1cc(F)ccc1Cc1ccccc21
44318842,CN(C)CC1CC2N(O1)c1cc(C)ccc1Cc1ccccc21
44342270,Cc1ccc(CN2CCC(CC2)n2c3ccccc3[nH]c2=O)c(Cl)c1
44345317,CN(C)CC1CC2N(O1)c1ccccc1Cc1ncccc21
44359441,CC[C@@H]1CC2C[C@H]3C1N(C2)CCc1c3[nH]c2ccc(O)cc12
44413096,CCn1c2cc([nH]c2c(=O)n(CC)c1=O)-c1ccc(cc1)S(=O)(=O)NCCc1ccccn1
44413106,CCCn1c(=O)n(C)c2cc([nH]c2c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2ccc(cc2)C#N)CC1
44413113,CCn1c2cc([nH]c2c(=O)n(CC)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2cccc(F)c2)CC1
44413182,COc1ccc(CNS(=O)(=O)c2ccc(cc2)-c2cc3n(C)c(=O)n(C)c(=O)c3[nH]2)nc1
44413192,CCCn1c(=O)n(C)c2cc([nH]c2c1=O)-c1ccc(cc1)S(=O)(=O)NCc1ccc(OC)cn1
44413202,CCCn1c2cc([nH]c2c(=O)n(C)c1=O)-c1ccc(cc1)S(=O)(=O)N1CCN(Cc2ccc3OCOc3c2)CC1
44447994,COc1cccc2CC3N(C)CCc4cc5OCOc5c(c34)-c12
44461606,CN(C)CCC1CC2N(O1)c1ccccc1Cc1ccccc21
44469321,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc21
44469677,CC(=NOC(=O)Nc1ccccc1)c1cccc(c1)-c1cccs1
44559884,COc1ccc(C[C@@H]2N(C)CCc3cc(OC)c4Oc5cc6CCN(C)C(=O)c6cc5Oc4c23)cc1-c1cc(C=O)ccc1O
44559885,COc1cc2CCN(C)[C@@H](Cc3ccc(OC)c(c3)-c3cc(C=O)ccc3O)c2c(Oc2cc3C(=O)N(C)CCc3cc2OC)c1O
44631910,Cc1nn(c(Nc2ccccc2C(O)=O)c1-c1cc(F)c2nccnc2c1)-c1ccccc1C
45109862,Cc1[nH]c(cc1C(=O)NCCCN1CCN(CC1)c1cccc(Cl)c1Cl)-c1ccccc1
45278805,Cc1c(cc(-c2ccccc2)n1C)C(=O)NCCCN1CCN(CC1)c1cccc(Cl)c1Cl
45278882,CCCn1c(C)c(cc1-c1ccccc1)C(=O)NCCCN1CCN(CC1)c1cccc(Cl)c1Cl
45361874,CCc1cccc(NC(=O)CN2CCN(CC2)c2ccccn2)c1
45482789,CCN(CC)C(=O)[C@H]1CN([C@@H]2Cc3c[nH]c4cccc(C2=C1)c34)C(=O)Nc1ccccc1
46175652,Cc1nn(c(Nc2ccc(Cl)cc2C(O)=O)c1-c1ccc2nccnc2c1)-c1ccccc1C
46175736,Cc1nn(c(Nc2ccc(C)cc2C(O)=O)c1-c1ccc2nccnc2c1)-c1ccccc1C
46175737,Cc1nn(c(Nc2ccccc2C(O)=O)c1-c1ccc2nccnc2c1)-c1ccccc1C
46175738,COc1ccc(Nc2c(c(C)nn2-c2ccccc2Cl)-c2ccc3nccnc3c2)c(c1)C(O)=O
46175914,Cc1ccccc1-n1ncc(c1Nc1ccccc1C(O)=O)-c1ccc2nccnc2c1
46176000,CCc1ccccc1-n1nc(C)c(c1Nc1ccc(OC)cc1C(O)=O)-c1ccc2nccnc2c1
46213946,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(c1)C(=O)NCCN(C)C
46238636,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(c1)C(=O)NC1CC1
46238684,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(c1)C(=O)NCCN1CCOCC1
46238686,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(c1)C(=O)NCCN1CCCCC1
46238694,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cncc(O)c1
46238729,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(O)c1
46240228,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(c1)C(=O)NCCCCCCCN(C)CCO
46830335,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]1CCN(CCN2CCN(CC2)C(=O)c2ccccc2Cl)C1
46830336,Fc1ccc(F)c(c1)C(=O)N1CCN(CCN2CC[C@H](C2)NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)CC1
