PubChem CID,P0DMS8,P9WID5,P09172,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,Q4KLH9,Q8BUD0,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1,Q91ZY2,Q96NT5,Q01959,Q05754,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q95136
6448585,,,,,,,,,,,,,,,62,,,1,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6466372,,,,62504,,,,,,330,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604117,,,,1000,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,
6918314,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,,,,,,,,,,295,,,,,,,,,
6918388,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9804849,,,,,,,,,900,,,,,860,,,,,,,,,,,,,10000,2300,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,
9816781,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,15,,
9839081,,,,871,,,,,,132,,,,,,,,,,,,,,,,,6.8,170,,,,,,,,,195,,,,,,,,,,,,,,,,,,,
9839670,1.9,,,,,,,,,,,,,,,,,10000,9400,,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9841596,,,,10000,,1000,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,
9848518,,,,10000,,,,,,,,,,,,,,,,,10000,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9858553,4.9,,,,,,,,,,,,,,,,,10000,2700,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9861399,,,,,,3000,600,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,
9863684,0.61,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9868793,,,,,,,,,,1102,,,,,,,,,,,,,,,,,,489,,,,,,,,,3516,,,,,,,,,,,,,,,,,,,
9870702,,,,10000,,,,,,,,,,,,,,,,,10000,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9896267,4800,,,,,,,,,,,,,,,,,4400,,,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901136,4,,,,,,,,,,,,,,,,,10000,10000,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902350,26,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911120,,,,1096,,,,12200,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22850
9928653,5.4,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9929288,0.9,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930740,8.7,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9947230,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,0.4,,,,,,,,,
9949655,,,,300,,,,,,4.5,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9954899,,,,140,,64,,,,120,,,,,,,,,,,,,,47,,,,53,,,,,,,,,31,,,,,,,,,,,,,,,,,,,
10019102,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,5900,,,,,,,,,,,,,,,,10000,,,
10026300,,,,52,,66,,,,150,,,,,,,,,,,,,,120,,,,29,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
10048222,,,,1000,,,,,,,,,,,,,,,,1000,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049758,,,,23,,100,,,,570,,,,,,,,,,,,,,,,,,8,,,,,,,,,32,,,,,,,,,,,,,,,,,,,
10059965,,,52480.75,,53000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52481,,,,,,,,
10092041,,,,150,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,,,,,,,,,,,,,,,,
10108561,,,,1905,,,,,,251,,,,,,,,,,,,,,,,,1000,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10131882,45,,,,,,,,,,,,,,,,,10000,10000,,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153029,1467,,,,,,,,,,,,,,,,,,18,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156654,8.2,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10196060,8888,,,,,,,,,,,,,,,,,,7,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10196517,4314,,,,,,,,,,,,,,,,,,12,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10218183,5249,,,,,,,,,,,,,,,,,,4,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10237847,1315,,,,,,,,,,,,,,,,,,12,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10238677,844,,,,,,,,,,,,,,,,,,17,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246054,,,,447,,,,,,1000,,,,,,,,,,,,,,,,,17,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10263758,,,74.13,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,
10288169,2085,,,,,,,,,,,,,,,,,,14,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10288197,1525,,,,,,,,,,,,,,,,,,18,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310578,6438,,,,,,,,,,,,,,,,,,17,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10311222,3169,,,,,,,,,,,,,,,,,,16,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10320519,,,,,,16,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,
10333685,,,,,,20000,4200,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,27200,,,,,,,,,,,,,,,,,,,
10357986,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,10000,,,,,,,,,,,,,,,,10000,,,
10381889,,,,8.7,,,,,,2.6,,,,,,,,,,,,,,,,,2.3,0.549541,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,
10385855,,,,10000,,,,,,,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385977,,,,20,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
10393931,,,,,,100000,,,,,,,3400,,,,,,,,,,,,,,,,,,,,,,,,3180,,,,,,,,,,,,,,,,,,,
10398787,,,1202.26,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201,,,,,,,,
10400783,,,,,,23900,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,
10412646,,,,30,,200,,,,490,,,,,,,,,,,,,,,,,,52,,,,,,,,,43,,,,,,,,,,,,,,,,,,,
10425450,,,,27923,,,,,,129.5,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10450082,,,,9800,,,,,,20,,,,,,,,,,,,,,,,,,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10518133,,,,,,100000,,,,,,,91500,,,,,,,,,,,,,,,,,,,,,,,,61200,,,,,,,,,,,,,,,,,,,
10571551,,,,,,70000,2000,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,
10575100,,,,,,930,,,,,,,,,,,,,,,,,,720,,,,,,,,,,,,,8100,,,,,,,,,,,,,,,,,,,
10582557,,,,,,51900,,,,,,,20300,,,,,,,,,,,,,,,,,,,,,,,,21900,,,,,,,,,,,,,,,,,,,
10596380,,,,1000,,,,,,1000,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10712993,,,,,,5000,600,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,,,,,,,,,
10732779,,,,,,16600,,,,,,,64800,,,,,,,,,,,,,,,,,,,,,,,,14700,,,,,,,,,,,,,,,,,,,
10825736,,,,,,100000,,,,,,,6800,,,,,,,,,,,,,,,,,,,,,,,,53100,,,,,,,,,,,,,,,,,,,
10852400,,,,,,100000,,,,,,,43600,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,
10885636,3480,,,2240,,,,,1120,776,988,,,1030,,,,,,,,,,,,,795,195,,,,,,,,,,,,,,,,,,,996,,,,,,,,,
10907460,2460,,,2890,,,,,967,,1450,,,757,,,,,,,,,,,,,1820,341,,,,,,,,,,,,,,,,,,,994,,,,,,,,,
10915140,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,,1600,,,,,,,,,,,,,,,,10000,,,
10948527,,,,557,,,,,,947,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10981761,,,,123,,,,,,1880,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11005810,5980,,,551,,,,,376,543,513,,,368,,,,,,,,,,,,,454,538,,,,,,,,,,,,,,,,,,,781,,,,,,,,,
11046842,5,,,,,,,,,,,,,,,,,10000,10000,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11059058,1780,,,,,,,,7580,,4890,,,,,,,,,,2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11071079,4210,,,2620,,,,,,338,1550,,,1250,,,,,,,,,,,,,1280,456,,,,,,,,,,,,,,,,,,,1650,,,,,,,,,
11099480,,,,,,50000,,,,,,,85750,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,
11113605,5080,,,,,,,,,716,3020,,,1340,,,,,,,,,,,,,1660,977,,,,,,,,,,,,,,,,,,,1280,,,,,,,,,
11154555,,,,1.7,,1000,1.6,,1000,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,
11209208,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,539,,,,,,,,,
11220599,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,39.5,,,,,,,,,
11243002,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,40,,,,,,,,,
11277680,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,67.9,,,,,,,,,
11299968,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,283,,,,,,,,,
11304851,,,,3200,,,,,,,,,,,,,,25000,,,,,,,,,10000,3200,,,,,,,,,,,,,,,,3200,,,,,,,,,,,,
11311147,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,63,,,,,,,,,
11311148,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,
11311204,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,49.7,,,,,,,,,
11349921,,,,,,,,,,,,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,
11357862,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,1110,,,,,,,,,
11430418,1000,,,550,,,,,1000,,,,,1000,,,,1000,,,1000,,,,,,1000,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,
11470616,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,62.9,,,,,,,,,
11530118,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11539020,,,,,,,,,,,,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,0.31,,,,,,,,,,,,
11539632,,,,,,,,,7.5,,,,,0.87,,,,,,,,,,,,,3.5,1.3,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
11551780,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,
11580039,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11581337,,,,,,,,,,,,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,0.68,,,,,,,,,,,,
11632103,,,,,,,,,,,,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,0.72,,,,,,,,,,,,
11677079,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,9200,30000,,,,,,,,,,,,,,,,,,,,,,,,,,
11697697,,,,,,,,,,,,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,1.7,,,,,,,,,,,,
11730467,,,,,,,,,2750,280,1860,,,1980,,,,,,,,,,,,,1930,758,,,,,,,,,,,,,,,,,,,954,,,,,,,,,
11743399,,,,1000,,,,,1000,1000,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11794523,,,,,,5000,2000,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,
11811722,,,,538,,,,,,,,,,,,,,,,,,,,,,,496,149,,,,,,,,,,,,,,,,,,,2250,,,,,,,,,
11957735,,,,10000,,,,,10000,,10000,,,10000,,,,,,,,,,,,,10000,,,,,,,,,,,,,,10000,,,,,,10000,,,,,,,,,
