PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
137538813,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137538814,30,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137538815,500,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
137538816,75,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137538901,30,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137538937,75,,,,,,,,,,,30,300,300,,,,,,,,,,,,,,,,,
137538958,75,,,,,,,,,,,75,10,75,,,,,,,,,,,,,,,,,
137538980,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137538982,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538998,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539000,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539009,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539011,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539021,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137539027,75,,,,,,,,,,,300,10,75,,,,,,,,,,,,,,,,,
137539043,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539051,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539065,30,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539075,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539077,75,,,,,,,,,,,30,10,75,,,,,,,,,,,,,,,,,
137539080,75,,,,,,,,,,,75,10,75,,,,,,,,,,,,,,,,,
137539137,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539146,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539151,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539156,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539158,300,,,,,,,,,,,30,30,300,,,,,,,,,,,,,,,,,
137539163,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539164,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539173,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539188,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539191,10,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
137539194,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539199,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539207,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539224,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539228,500,,,,,,,,,,,75,10,300,,,,,,,,,,,,,,,,,
137539229,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539240,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539250,300,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137539253,500,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
137539262,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539269,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539278,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539284,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539292,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539293,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539297,75,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539301,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539305,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539306,30,,,,,,,,,,,10,30,300,,,,,,,,,,,,,,,,,
137539311,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539329,500,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
137539338,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539341,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539342,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539347,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539351,75,,,,,,,,,,,30,75,500,,,,,,,,,,,,,,,,,
137539362,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137539382,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539384,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539391,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539397,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539398,30,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137539409,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539417,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539422,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539440,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539459,500,,,,,,,,,,,30,10,75,,,,,,,,,,,,,,,,,
137539465,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539475,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539478,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539482,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539485,75,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
137539488,75,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539492,500,,,,,,,,,,,75,30,75,,,,,,,,,,,,,,,,,
137539494,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539501,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539504,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539510,30,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539512,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539513,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539525,300,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137539530,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137539546,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539549,75,,,,,,,,,,,75,30,75,,,,,,,,,,,,,,,,,
137539559,75,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539564,75,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539573,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539575,30,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539590,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539591,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539592,500,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
137539627,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539632,500,,,,,,,,,,,500,75,500,,,,,,,,,,,,,,,,,
137539644,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539649,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539653,75,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539654,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539655,300,,,,,,,,,,,10,10,500,,,,,,,,,,,,,,,,,
137539656,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539657,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539674,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137539689,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539697,75,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539709,75,,,,,,,,,,,30,10,75,,,,,,,,,,,,,,,,,
137539717,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539728,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137539730,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137539740,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137539744,75,,,,,,,,,,,75,10,75,,,,,,,,,,,,,,,,,
137539745,75,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137539748,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
